label,class,precision,recall,f1,support
y2,Others,0.5714,0.5714,0.5714,7
y2,Problem/Fault,0.6667,0.75,0.7059,16
y2,Suggestion,0.8235,0.7368,0.7778,19
y2,macro avg,0.6872,0.6861,0.685,42
y2,weighted avg,0.7218,0.7143,0.716,42
y3,AppGallery-Install/Upgrade,0.6667,0.6667,0.6667,6
y3,AppGallery-Use,0.0,0.0,0.0,2
y3,Coupon/Gifts/Points Issues,1.0,0.8,0.8889,5
y3,General,0.0,0.0,0.0,1
y3,Invoice,0.3333,1.0,0.5,1
y3,Other,0.0,0.0,0.0,0
y3,Others,0.0,0.0,0.0,0
y3,Payment,0.5455,0.4615,0.5,13
y3,Payment issue,0.3333,1.0,0.5,1
y3,Refund,0.0,0.0,0.0,1
y3,Third Party APPs,0.5,1.0,0.6667,1
y3,VIP / Offers / Promotions,1.0,0.75,0.8571,4
y3,unknown,0.5,0.1429,0.2222,7
y3,macro avg,0.3753,0.4478,0.3694,42
y3,weighted avg,0.5895,0.5,0.5142,42
y4,Can't download Apps,0.0,0.0,0.0,0
y4,Can't install Apps,0.6667,0.6667,0.6667,3
y4,Can't update Apps,0.0,0.0,0.0,2
y4,Can't use or acquire,1.0,1.0,1.0,4
y4,Cooperated campaign issue,0.0,0.0,0.0,1
y4,Invoice related request,0.5,1.0,0.6667,1
y4,Offers / Vouchers / Promotions,1.0,1.0,1.0,4
y4,Other download/install/update issue,0.0,0.0,0.0,1
y4,Others,1.0,0.3333,0.5,3
y4,Payment failed,0.0,0.0,0.0,0
y4,Personal data,0.0,0.0,0.0,0
y4,Query deduction details,0.0,0.0,0.0,2
y4,Refund,0.3333,1.0,0.5,1
y4,Risk Control,0.3333,1.0,0.5,1
y4,Subscription cancellation,0.5,0.3636,0.4211,11
y4,Within 14 days of purchase (not product issue),0.0,0.0,0.0,1
y4,unknown,0.6,0.4286,0.5,7
y4,macro avg,0.349,0.3995,0.3385,42
y4,weighted avg,0.5683,0.5,0.5071,42
